CustomerID,Recommendations
C0001,"[('C0060', 0.0542), ('C0033', 0.054), ('C0097', 0.054)]"
C0002,"[('C0133', 0.9165), ('C0060', 0.5804), ('C0033', 0.5785)]"
C0003,"[('C0060', 0.3309), ('C0033', 0.3298), ('C0097', 0.3297)]"
C0004,"[('C0141', 0.6963), ('C0054', 0.667), ('C0065', 0.6586)]"
C0005,"[('C0197', 0.9994), ('C0060', 0.5428), ('C0033', 0.541)]"
C0006,"[('C0141', 0.3722), ('C0054', 0.3566), ('C0065', 0.352)]"
C0007,"[('C0060', 0.3843), ('C0033', 0.383), ('C0097', 0.3828)]"
C0008,"[('C0141', 0.3904), ('C0054', 0.3739), ('C0065', 0.3692)]"
C0009,"[('C0060', 0.7171), ('C0033', 0.7146), ('C0097', 0.7144)]"
C0010,"[('C0060', 0.6084), ('C0033', 0.6063), ('C0097', 0.6061)]"
C0011,"[('C0141', 0.1379), ('C0054', 0.1321), ('C0065', 0.1304)]"
C0012,"[('C0141', 0.6731), ('C0054', 0.6448), ('C0065', 0.6366)]"
C0013,"[('C0141', 0.786), ('C0054', 0.753), ('C0065', 0.7434)]"
C0014,"[('C0151', 0.9999), ('C0097', 0.9997), ('C0060', 0.9995)]"
C0015,"[('C0123', 0.9985), ('C0060', 0.6899), ('C0033', 0.6876)]"
C0016,"[('C0107', 0.9911), ('C0141', 0.2107), ('C0054', 0.2018)]"
C0017,"[('C0141', 0.5579), ('C0054', 0.5344), ('C0065', 0.5276)]"
C0018,"[('C0141', 0.5659), ('C0054', 0.5421), ('C0065', 0.5352)]"
C0019,"[('C0060', 0.5051), ('C0033', 0.5033), ('C0097', 0.5032)]"
C0020,"[('C0130', 0.9985), ('C0060', 0.7146), ('C0033', 0.7122)]"
